statistic_yyy,site_id,people_total,area,population_density
統計年,區域別,年底人口數,土地面積,人口密度
103,新北市板橋區,555914,23.1373,24027
103,新北市三重區,389325,16.317,23860
103,新北市中和區,415226,20.144,20613
103,新北市永和區,227267,5.7138,39775
103,新北市新莊區,411711,19.7383,20858
103,新北市新店區,299730,120.2255,2493
103,新北市樹林區,184167,33.1288,5559
103,新北市鶯歌區,89075,21.1248,4217
103,新北市三峽區,111588,191.4508,583
103,新北市淡水區,158953,70.6565,2250
103,新北市汐止區,195140,71.2354,2739
103,新北市瑞芳區,41315,70.7336,584
103,新北市土城區,239270,29.5578,8095
103,新北市蘆洲區,199750,7.4351,26866
103,新北市五股區,82255,34.8632,2359
103,新北市泰山區,78370,19.1603,4090
103,新北市林口區,97645,54.1519,1803
103,新北市深坑區,23636,20.5787,1149
103,新北市石碇區,7864,144.3498,54
103,新北市坪林區,6455,170.835,38
103,新北市三芝區,23480,65.9909,356
103,新北市石門區,12733,51.2645,248
103,新北市八里區,37187,39.4933,942
103,新北市平溪區,4954,71.3382,69
103,新北市雙溪區,9450,146.2484,65
103,新北市貢寮區,13115,99.9734,131
103,新北市金山區,22400,49.2132,455
103,新北市萬里區,22678,63.3766,358
103,新北市烏來區,6165,321.1306,19
103,臺北市松山區,210473,9.2878,22661
103,臺北市信義區,229657,11.2077,20491
103,臺北市大安區,313693,11.3614,27610
103,臺北市中山區,230496,13.6821,16847
103,臺北市中正區,163388,7.6071,21478
103,臺北市大同區,130973,5.6815,23053
103,臺北市萬華區,194715,8.8522,21996
103,臺北市文山區,273921,31.509,8693
103,臺北市南港區,121257,21.8424,5551
103,臺北市內湖區,285767,31.5787,9049
103,臺北市士林區,290455,62.3682,4657
103,臺北市北投區,257520,56.8216,4532
103,桃園市桃園區,417366,34.8046,11992
103,桃園市中壢區,381449,76.52,4985
103,桃園市大溪區,91887,105.1206,874
103,桃園市楊梅區,157200,89.1229,1764
103,桃園市蘆竹區,151354,75.5025,2005
103,桃園市大園區,84531,87.3925,967
103,桃園市龜山區,141998,72.0177,1972
